Robert Drysdale
Collin Anglin
Denis Sobolev
Jin Oh Kim
Adli Edwards
Joshua Wang-Kim
Elisha Helsper
Ryan Parker
Billy Goff
Lu Zhengyong
Jean Silva
Wes Shivers
Brandon Lewis
Josh Paiva
Issac DeJesus
Filip Pejic
Alex Reyes
Mark Eddiva
Murad Chunkaiev
Gilbert Aldana
Kelly Faszholz
Ryan Bastianelli
Jinensibieke Asikeerbai
Nurullo Aliev
Danny Davis
Shin Haraguchi
John Matua
Reza Nasri
Aaron Trujillo
Atsushi Yamamoto
Akira Kikuchi
Marcelo Brito
Reese Andy
Fredy Serrano
Daniel Gallemore
Gilbert Jimenez
Alexander Poppeck
Dillon Smith
Cesar Almeida
Hugo Cunha
Jason McLean
Laverne Clark
Adrienna Jenkins
Val Woodburn
David Lee
Fabio Mello
Rosi Sexton
Claudio Ribeiro
Dave Rickels
Ben Reiter
Ryan Madigan
Joey Roberts
Felix Lee Mitchell
Richie Smullen
Alberta Cerra Leon
Andrew Todhunter
Horacio Gutierrez
Kolton Englund
Wagner Silva
Kevin Knabjian
Alonzo Martinez
Taiyilake Nueraji
Jorge Ortiz
Mark Madsen
Ahmad Hassanzada
Josh San Diego
Eric Galvan
Rafael Fiziev
Matt Pedro
JJ Okanovich
Abu Azaitar
Ariel Gandulla
Brandon Polcare
Dave Courchaine
Johnny Rhodes
Pat Benson
Vitaly Minakov
Byron Bloodworth
Cameron VanCamp
Ronald Carillo
Steve White
Stephen Ledbetter
Kengo Watanabe
Augusto Mendes
Josh McDonald
Ike Villanueva
Kenji Arai
Felipe Pena
Waachiim Spiritwolf
Norman Parke
Alan Baudot
Guilherme Viana
Manuel Gaxhja
Jairzinho Rozenstruik
Tanner Boser
Eldari Kurtanidze
Jesus Pinedo
Mitch Raposo
Gary Frazier
Francois Botha
Todd Butler
Kelly Kobold
John Lewis
Andrew Ramm
Ruben Villareal
Doug Kay
David Smith
Micheal Gillmore
Fabio Cherant
Mayana Kellem
Puja Tomar
Elvis Mutapcic
Alexander Sarnavskiy
Joe Merritt
Aliev Makhmud
Brad Gumm
Adrian Diaz
Feng Pengchao
Jordan Radev
Tadao Yasuda
Young Hwang
Xue Do Won
Drew Pendleton
Matt Andersen
Estefani Almeida
Thomas Campbell
Kevin Roddy
David Avellan
Ashkan Mokhtarian
Koyomi Matsushima
Marco Ruas
Brett Rogers
Brianna Fortino
Devin Cole
Ryan Stonitsch
Rodney Faverus
James Mulheron
Jonny Carson
Nick Hein
Adam Hunter
Mark Cherico
Nick Nolte
Kyu Sung Kim
Gleristone Santos
Emily Ducote
Andy Waters
Jason Gilliam
Johnny Cisneros
Art Jimmerson
Justin Hawes
Art Santore
Charlie Ward
Jianping Yang
Tony Halme
Clint Hester
Bas Rutten
Frank Camacho
Sheymon Moraes
Ian McCall
Jonathan Wilson
Julio Cesar Neves Jr.
Hisaki Kato
Karol Rosa
Bao Quach
Alex Soto
Richie Hightower
Chris Hawk
Fabio Aguiar
Salvador Woods
Terrence Mitchell
Thomas Paull
Paulo Costa
Josh Bryant
Ravena Oliveira
Ed Ratcliff
Maheshate
Luke Jumeau
Stephanie Webber
Bob Cook
Alex Enlund
Dariya Zheleznykova
Davi Bittencourt
Francimar Barroso
Abubakar Nurmagomedov
Kerry Schall
Eddie Ruiz
Raul Sandoval
Justin Gaethje
Daniel Acacio
Greg Rebello
Andrey Koreshkov
Erik Silva
Geza Kalman
Sean Gannon
Dustin Moore
Cesar Marscucci
Wayne Phillips
Jennifer Gonzalez
Ryan MacDonald
Izabela Badurek
Alavutdin Gadjiev
Zviad Lazishvili
Scott McAfee
Cameron Smotherman
Rafael Carvalho
Chris Hofmann
Jaimelene Nievera
Brandon Magana
Jaime Alvarez
Emanuel Newton
Gary Mangat
Steve Kozola
Shonte Barnes
Jesse Juarez
Brendon Marotte
Yuji Nagata
Alton Cunningham
Nikolay Veretennikov
Chad Johnson
Marcus Brimage
Jared Papazian
Matheus Scheffel
Scott Bessac
Yuki Ishikawa
Julie Kedzie
Dennis Dombrow
Tulio Palhares
Peter Petties
Jake Hecht
Bobby Stack
Henrique Shiguemoto
Eun Soo Lee
Bristol Marunde
Ivan Shtyrkov
Emilio Chavez
Edward Faaloloto
Brian McLaughlin
Adam Smith
Carina Damm
Minoru Toyonaga
Wataru Sakata
Victor Madrigal
Ray Steinbeiss
Stipe Miocic
CJ Fernandes
Joe Benoit
Ken Cross
Nordine Taleb
Tomohiko Hashimoto
Ronald Jhun
Akira Corassani
Caros Fodor
Pedro Rocha
Mario Piazzon
Besam Yousef
Willie Peeters
Marco Polo Reyes
Oleksandr Doskalchuk
Amir Rahnavardi
Shonie Carter
John Kuhner
Jack Morrison
Carl Toomey
Deron Winn
Hailey Cowan
Chris Bostick
Ernie Verdicia
Paul Rodriguez
Mal Foki
Grigory Popov
Kevin Vallejos
Taylor Callens
Roger Hollett
Eduardo Bustillos
So Yul Kim
Russell Patrick
Thanh Le
Pedro Otavio
Ricardo Funch
Jesse Moreng
Mikey Burnett
Brandon Gaines
Jesse Bongfeldt
Rongzhu
Nick Roehrick
Karl Reed
John Hosman
Takenori Sato
Damian Grabowski
Dan Manasoiu
Shamar Bailey
Francesco Maturi
Pedro Rizzo
Paul Bradley
Nolan Ticman
David Barrios
Justin Salas
Scott Lighty
Hussain Rasouli
Ericka Almeida
Hiroyuki Takaya
Rico DiSciullo
Phil Johns
Chuck O'Neil
Willie Parks
Kevin Borjas
Jhonata Silva
Stephen Thompson
Humberto Brown Morrison
Fernando Bettega
Gabriel Salinas-Jones
Maurice Eazel
Anthony Romero
Bruno Souza
Jair Farias
Scott Adams
Jared Cannonier
Clay French
Antonio Dos Santos
Yoko Takahashi
Charlie Brenneman
Yurij Kiseliov
Ramona Pascual
Marcos da Matta
Mickael Lebout
Joao Roque
Tony Juarez
Chatt Lavender
Andrew Sanchez
Fiona Muxlow
Arman Tsarukyan
Randy Costa
Collin Hart
Rayanne Amanda
Luciano Azevedo
Kyle Driscoll
Jasmine Jasudavicius
Don Carlo-Clauss
Victor Dias
Keiichiro Yamamiya
Milana Dudieva
Icho Larenas
Dan O'Connor
Nikolajus Cilkinas
Yuki Sasaki
Damir Mirenic
Dinis Paiva Jr.
Steve Mensing
Sean Daugherty
Nasrudin Nasrudinov
Greg Wilson
Junior Albini
Alex Higley
Nick Ertl
John Salgado
Ray Routh
Josh Burns
Patrick Smith
Kyle Kingsbury
Jason DeLucia
Douglas Lima
Bruno Korea
Kerry Vera
Josh Pulsifer
Mark Climaco
Ismael Bonfim
Jesse Murray
Gilles Arsene
Steve Judson
Chibwikem Onyenegecha
Jonathan Rivera
Haven Torres
Chris Solomon
Santiago Ponzinibbio
Robert Densley
Rashard Lovelace
Leon Aliu
Michel Batista
Dustin Joynson
Dong Hyun Ma
Marc Cofer
Joe Pardo
Dhafir Harris
Karine Gevorgyan
Nick Pica
Gennaro Strangis
Rony Sefo
Yan Xiaonan
Gabe Ruediger
Logan Urban
TJ Hepburn
Daniel Pereira
Johnny Rees
Dwayne Cason
Josiane Nunes
Danny Chavez
Marcio Navarro
Ulysses Gomez
Rostem Akman
Maria Rios
Oron Kahlon
Rodrigo Lidio
Jacob Silva
Rudy Bears
Jacob Noe
Anying Wang
Jerome Rivera
Michael Kuiper
Sherrard Blackledge
Teddy Ash
Brogan Walker
Ryan Roberts
Carlos Vera
Brandon Wolff
Bruna Brasil
Eduardo Pamplona
Ray Wizard
Ty Flores
John Kelly
Anton Turkalj
Jimmy Lawson
Carls John De Tomas
Yazan Hajeh
Richard Dalton
Paulo Renato Junior
Ricky Calatayud
Raou Raou
David Roberts
Alberto Montes
Cody Floyd
Fellipe Andrew
Colin Fletcher
Karla Benitez
Torrance Taylor
Nate Schroeder
Shane Young
Justin Gonzales
Josh Bennett
Waylon Kennell
Billy Vaughan
Chase Waldon
Eiji Ishikawa
Francisco Trevino
Joe Cason
Sasha Palatnikov
Kotetsu Boku
Josh Neal
Issa Isakov
Marcelo Mello
Shana Dobson
Justin Tafa
Jason Reinhardt
John Doyle
Jordan Goodwin
Tai Tuivasa
Jerome LeBanner
Marvin Maldonado
Lee Gibson
Jocelyn Jones-Lybarger
Victor Valenzuela
Matt Kovacs
Isaac Vallie-Flagg
Dequan Townsend
Charon Spain
Jason Butcher
Turrell Galloway
Cody Garbrandt
Ron Fields
Kenyon Jackson
Ivan Cole
Mike Jackson
Yanal Ashmouz
Evan Esguerra
Justin Pennington
Colleen Schneider
Miles Johns
Mike Dolce
Bendy Casimir
Clint Godfrey
Oban Elliott
Scott Junk
Joel Thomas
Nick Newell
Sean Lally
Asbel Cancio
Marques Daniels
Brian Cobb
Christian Uflacker
Nick Denis
David Gomez
Rolando Perez
Junya Kudo
Forrest Petz
Bubba Pugh
Adam Milstead
Tim Roman
Jin Soo Son
Haisam Rida
Edwin Aguilar
Gary Quan
Tim Catalfo
Jesse Gillespie
Roy Jones
Mack Brewer
Tsuyoshi Tamakairiki
JR Coughran
Takayuki Okada
Joe Wilk
Khusein Askhabov
Joe Camacho
Aoriqileng
Kier Gooch
Austin Hubbard
Liudvik Sholinian
Austin Tweedy
Adrian Serrano
Jorge de Oliveira
Ewerton Teixeira
Wagner Prado
Tom Aaron
Ron Sparks
Zac Pauga
Amber Tackett
Dimitiri Wanderley
Henrique Da Silva Lopes
Virgil Zwicker
Wade Shipp
Mike Easton
Marnic Mann
Eldo Xavier Dias
Claudionor Fontinelle
Victor Valimaki
Gisele Moreira
Coltin Cole
Kenny Giddens
Andrew Montanez
Darian Weeks
Louis Taylor
Vitor Vianna
Idris Wasi
Kasey Tanner
Ashlee Evans-Smith
Brendan Loughnane
Joao Pierini
Gaston Bolanos
Thomas Gifford
Tyrone Roberts
Joe Brammer
Christian Leroy Duncan
Joel Sutton
Pablo Villaseca
George Stork
Lance Benoist
Felipe Olivieri
Tiffany Masters
Dave Dalgliesh
Jason Jackson
Alberto Mina
Anthony Avila
Joe Schilling
Jhonoven Pati
Mo Miller
Yuya Shirai
Sarah Payant
Boston Salmon
Maka Watson
Jerry Bohlander
Landon Showalter
Nariman Abbasov
Justin Davis
Reynaldo Trujillo
Kyle Noblitt
Tony Sylvester
George Zuniga
Rex Richards
Cory Hendricks
Clint Coronel
Richardson Moreira
Amilcar Alves
Bobby Escalante
Shauna Bannon
Pedro Falcao
Felipe Silva
Peggy Morgan
Mason Fowler
Michael Cora
Christina Marks
Oliver Enkamp
Siala Siliga
Taneisha Tennant
Mario Rivera
Dewey Cooper
Luis Santos
Jeremiah O'Neal
Natalia Silva
Harris Sarmiento
Adam Fugitt
Eugenio Tadeu
Sean Spencer
John Clarke
John Donaldson
Kazuhisa Watanabe
Tateki Matsuda
Masaaki Satake
Luke Zachrich
Ricky Rainey
Keith Berish
Juan Manuel Puig
Roldan Sangcha'an
Derrick Mehmen
Chris Curtis
Marcus Bossett
Sarah Frota
Kevin Szaflarski
KB Bhullar
Lee Brousseau
Bryce Mejia
Chris Mickle
Bevon Lewis
Timothy Johnson
Angel Pacheco
Ailin Perez
Soichi Nishida
Egidijus Valavicius
Todd Brown
Michael Lerma
Cody Canterbury
Ricardo Prasel
Chance Farrar
Wes Combs
Wesley Correira
Treston Thomison
Lauren Mueller
Jorge Interiano
Michael Diaz
Klidson Abreu
Emiliano Linares
Matt Ricehouse
Xavier Siller
Ray Rodriguez
Mitch Whitesel
Kazuma Maruyama
Xiao Long
Xavier Foupa-Pokam
Patrik White
Tafon Nchukwi
John Kolosci
Robbie Ring
Dooho Choi
Darren Till
Cedric Doumbe
Jose Santibanez
Ho Bae Myeon
Cesar Gracie
Herdem Alacabek
Shawn Bunch
Pablo Alfonso
Royler Gracie
Andy Wang
Stephen Bass
Fabio Silva
Kali Robbins
Jason Godsey
Felipe Portela
Robert Peralta
Che Mills
Alexandru Lungu
Thomas Ramirez
Khadzhi Bestaev
Andre Winner
Derek Getzel
Levan Makashvili
Pete Rodriguez
Michal Oleksiejczuk
Hong Man Choi
Mike Polchlopek
Tom Sauer
Paul Creighton
Corey Anderson
Eddie Gordon
Nathan Jones
Stefan Leko
Sergey Ignatov
Jon Murphy
Patrick Speight
Dmitry Poberezhets
Marius Zaromskis
Marcos Mariano
Todd Gouwenberg
Willian Colorado
Nasrat Haqparast
Baergeng Jieleyisi
Tommy Speer
Priscila Cachoeira
Solomon Hutcherson
Rafael  Del Real
Antonio Duarte
Blake Bowman
Anthony Alves
John Devine
Justin Wilcox
Alan Gomez
Anthony Ruiz
Josh Janousek
Josiah Harrell
Jodie Esquibel
Marcelo Guimaraes
Rick Davis
Gian Siqueira
Konstantin Erokhin
Vinicius Oliveira
Magomed Ankalaev
Gaetano Pirrello
Derek Bohi
Nick Sperling
Cheyden Leialoha
Vinicius Salvador
Marvin Eastman
Zoila Frausto
Nathan Coy
Takeshi Inoue
Kyle Stewart
Ryan Keenan
Stephen Regman
Igor Borisov
Lucas Alexander
Eric Bedard
Mitch Ramirez
Carlos Prates
Mike Moreno
Jesse Sanders
Issei Tamura
Shamil Gamzatov
Chris Honeycutt
Andrew Craig
Elias Theodorou
Edilberto de Oliveira
Jeremy Tavares
Alex Gorgees
Shara Magomedov
Dave Martin
John Dodson
Chris Guillen
Ernesta Kareckaite
Brian Lo-A-Njoe
RJ Clifford
Gabriella Fernandes
Roman Bogatov
Jeremy Boczulak
Nick Piedmont
Steve Hadsel
Sho Patrick Usami
Miika Mehmet
Marcus Silveira
Alan Hiro
Nick Sanzo
Donnie Chappell
Jules Bruchez
Mike Ricci
Keith Hackney
Bobby Lashley
Matt Dwyer
James Gray
Robert Lucarelli
Justin Bruckmann
Blair Tugman
Kaleo Kwan
Wang Guan
Damir Ismagulov
Tra Telligman
DeMarco Villalona
Luana Santos
Muhammed Lawal
Raheam Forest
Calen Born
Thiago Perpetuo
Danilo Belluardo
Vincent Eazelle
Azamat Murzakanov
Chris Saunders
Daniel Jolly
Felix Klinkhammer
Oluwale Bamgbose
Yoshihiro Takayama
Kevin Natividad
Yuji Hisamatsu
Mauricio Ruffy
Themba Gorimbo
Toshiomi Kazama
Peter Barrett
Josh Appelt
Murtaza Talha
Solomon Renfro
Roberta Rovel
Victor Jones
Dave Terrel
Guilherme Vasconcelos
Scott Norton
Acacio Dos Santos
Matt Foki
Michael Lombardo
Delson Heleno
Jack Jenkins
Fred Ettish
Kim In Seok
Mike Wessel
Dave Cochran
Jermaine Andre
Dustin West
Rob Wilkinson
Levi Alford
Royce Alger
Tommy Lee
Gugun Gusman
Ryan Janes
Caio Machado
Julia Budd
Tina Lahdemaki
Eric Jacob
Antonio Jones
Morgan Charriere
Travis Fulton
Tim Gorman
Raimond Magomedaliev
Anthony Figueroa
Tim Williams
Sterling Ford
Vince Murdock
Nick Gonzalez
Ron Faircloth
Sheila Gaff
Taylor Johnson
Ernest Chavez
Arjan Bhullar
Koya Kanda
Jon Hess
Bobby Voelker
Corinne Laframboise
Miranda Granger
Cody East
Stevie Lynch
Israel Giron
Devin Johnson
Jeri Sitzes
Reyes Cortez Jr.
Brady Huang
Hugo Govea
Zhang Mingyang
Travis Calanoc
Joachim Christensen
Bubba Bush
Justin Robbins
Baru Harn
Rainn Guerrero
Angel De Anda
Tokimitsu Ishizawa
Alatengheili
Won Sik Park
Austin Lingo
Ben Sosoli
Greg Stott
Dennis Bryant
Pat Schilling
Sean Alvarez
Chuck Liddell
Eric Castile
David Marshall
Jose Torres
Jay Bogan
Leigh Remedios
Melinda Fabian
Junior Barata
Brian Geraghty
Daniel Santos
Daniel Schmitt
Jon Madsen
Min Soo Kim
Jamie Houston
Michael Patt
Greg Hardy
Kevin Engel
Karen Darabedyan
Sean Soriano
Jason Young
Frank Caracci
Melvin Manhoef
Henry Corrales
Yorgan De Castro
Tatsuya Iwasaki
Rhadi Ferguson
Linton Vassell
Anthony Adams
Sherman Pendergarst
JP Felty
Geronimo dos Santos
Bogdan Grad
Sean Loeffler
Josh Wick
Tim Stout
Roberto Traven
Kyle Prepolec
Jack Marshman
Aleksa Camur
Chris Manuel
Ian Garry
Harvey Park
Alejandro Villalobos
Victor Martinez
Jason Riley
Cameron Dollar
Shelton Graves
Scott Ettling
Mounir Lazzez
Jack Nilson
Israel Delgado
Luiz Dutra
Nair Melikyan
Norma Dumont
Tuco Tokkos
Cristian Quinonez
Wallen Del Rosario
Emmanuel Yarborough
Shinsho Anzai
Shoji Maruyama
Hidetaka Monma
John Paul Elias
Maurice Mitchell
Kazunori Yokota
Cyborg Abreu
Brandon Melendez
Andy Uhrich
Juan Puerta
Pete Sabala
Dusko Todorovic
Richard Jacobi
Masutatsu Yano
Justin Frazier
Lloyd Van Dams
Branko Cikatic
Dave Zitanick
Tito Jones
Yusaku Kinoshita
Jackie Lee
John Cofer
Kyron Bowen
Alejandro Garcia
Homer Moore
Keith Mielke
Eperaim Ginting
Justin Martin
Jack May
Jamelle Jones
Nicholas Sergiacomi
Del Hawkins
Ariel Beck
Abner Lloveras
Brian Melancon
Amaury Bitetti
John Campetella
Andre Pederneiras
Bryson Kamaka
Matej Penaz
Pauline Macias
