name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes
Steven Siler,Super,29,16,0,180.34,65.77,177.8,Orthodox,1987-02-15,3.21,41,2.96,54,0.47,21,55,1.6
Bryce Mitchell,Thug Nasty,16,2,0,177.8,65.77,177.8,Southpaw,1994-10-04,2.34,58,1.64,58,3.51,41,33,1.6
Marcus McGhee,The Maniac,8,1,0,172.72,61.23,175.26,Orthodox,1990-05-07,3.42,48,1.81,77,0,0,100,1.6
Eiji Mitsuoka,,18,9,2,170.18,65.77,,Southpaw,1976-01-01,1.49,49,2.26,45,2.3,36,20,1.6
Jamie Colleen,,4,1,0,160.02,52.16,165.1,Orthodox,1985-11-02,3.11,61,5.66,33,0.52,33,50,1.6
Mayra Bueno Silva,Sheetara,10,2,1,167.64,61.23,167.64,Orthodox,1991-08-22,4.16,54,4.71,57,0.35,50,68,1.6
Rafaello Oliveira,Tractor,17,8,0,172.72,70.31,180.34,Orthodox,1982-01-26,2.19,33,3.38,59,2.49,36,11,1.6
Caio Magalhaes,Hellboy,10,3,0,185.42,83.91,185.42,Orthodox,1987-12-14,2.27,40,2.78,56,1.05,15,58,1.6
Satoshi Ishii,,15,8,1,180.34,108.86,,Orthodox,1986-12-19,1.41,36,1.58,63,3.47,52,100,1.6
Justin James,,13,7,0,177.8,70.31,,Orthodox,1976-11-08,1.34,36,2.68,50,0,0,50,1.6
Jerrod Sanders,J-Reazie,16,3,0,172.72,61.23,182.88,Orthodox,1979-10-01,0.88,64,1.14,46,2.2,33,50,1.6
Saimon Oliveira,,18,5,0,162.56,61.23,182.88,Orthodox,1991-04-21,2.82,41,3.91,48,1.21,25,35,1.6
Fabricio Camoes,Morango,14,9,1,177.8,70.31,180.34,Orthodox,1978-12-23,1.29,33,1.85,61,2.34,32,20,1.5
Pawel Nastula,,5,6,0,182.88,104.33,,Southpaw,1970-06-26,1.3,43,1.73,50,3,60,0,1.5
Shavkat Rakhmonov,Nomad,17,0,0,185.42,77.11,195.58,Orthodox,1994-10-23,4.45,59,2.61,53,1.49,33,100,1.5
Dileno Lopes,,19,3,0,165.1,61.23,,,,2.37,36,3.33,53,2.5,31,100,1.5
Mike Pyle,Quicksand,27,14,1,182.88,77.11,187.96,Orthodox,1975-09-18,2.74,45,2.84,60,1.8,35,70,1.5
Thomas Denny,The Wildman,27,21,1,177.8,77.11,,Orthodox,1971-04-19,2.36,45,4.69,40,1.48,17,42,1.5
Matt Veach,,17,5,0,180.34,70.31,,Orthodox,1981-05-31,1.12,28,4.91,44,3.64,38,100,1.5
Bu-Kyung Jung,,0,4,0,170.18,69.85,,Orthodox,1978-05-26,0.63,36,1.85,56,1.1,75,0,1.5
Ryan Spann,Superman,21,9,0,195.58,92.99,200.66,Orthodox,1991-08-24,3.42,40,3.91,45,1.29,35,47,1.5
Godofredo Pepey,,13,6,0,170.18,65.77,185.42,Orthodox,1987-07-02,2.32,38,3.23,47,0.37,7,35,1.5
Gerald Meerschaert,GM3,35,17,0,185.42,83.91,195.58,Southpaw,1987-12-18,3.3,44,3.5,53,2.01,37,34,1.5
Max Rohskopf,Rated R,5,1,0,185.42,70.31,180.34,Orthodox,1994-09-27,1.7,31,5.8,42,3,33,0,1.5
Joe Solecki,,13,4,0,175.26,70.31,177.8,Orthodox,1993-08-27,2.21,56,1.53,52,2.65,50,50,1.5
Javier Vazquez,Showtime,16,5,0,170.18,65.77,175.26,Southpaw,1977-07-16,2.43,36,1.99,72,2.56,52,57,1.5
Chris Indich,,6,4,0,177.8,77.11,,,,1.31,30,4.32,43,0.75,50,50,1.5
Gavin Tucker,Guv'nor,13,3,0,167.64,65.77,167.64,Southpaw,1986-06-17,4.29,44,4.18,57,3.13,44,53,1.5
Mike Malott,Proper,10,1,1,185.42,77.11,185.42,Orthodox,1991-11-07,4.21,42,3.07,56,2.53,55,0,1.5
Oskar Piechota,Imadlo,11,3,1,182.88,83.91,193.04,Southpaw,1990-01-24,3.3,52,3.93,51,0.61,40,38,1.5
Jason Von Flue,Live Wire,14,12,1,182.88,77.11,,Orthodox,1975-08-01,1.89,36,3.23,52,0.62,16,58,1.5
Tony DeSouza,,11,4,0,182.88,77.11,177.8,Southpaw,1974-07-26,1.12,52,1.57,41,2.25,42,40,1.5
Ilia Topuria,El Matador,14,0,0,170.18,65.77,175.26,Orthodox,1997-01-21,4.44,46,3.05,67,2.19,56,92,1.5
Ryuki Ueyama,,12,18,5,180.34,81.65,,Southpaw,1976-04-17,0.13,21,1.4,46,0.5,100,0,1.5
Charles Byrd,Kid Dynamite,10,7,0,177.8,83.91,185.42,Orthodox,1983-10-11,3.43,55,2.63,55,2.5,50,40,1.5
Teemu Packalen,Pacu,8,3,0,185.42,70.31,190.5,Orthodox,1987-05-22,2.57,54,3.91,47,2.31,25,100,1.5
Rafael Alves,The Turn,20,12,0,172.72,70.31,172.72,Orthodox,1990-11-14,1.85,48,3.3,58,0.29,25,44,1.5
Thiago Tavares,,21,7,1,170.18,65.77,177.8,Orthodox,1984-11-08,2,40,2.31,62,3.83,42,62,1.5
Andre Muniz,Sergipano,23,6,0,185.42,83.91,198.12,Southpaw,1990-02-17,2.17,50,2.03,53,2.97,40,35,1.5
Matt Wiman,,16,10,0,177.8,70.31,172.72,Orthodox,1983-09-19,3.17,50,3.57,51,2.13,37,56,1.5
Patrick Walsh,The Beast of the East,10,3,0,180.34,83.91,,,,2.03,19,2.83,64,3,54,100,1.5
Michihiro Omigawa,,17,14,1,167.64,65.77,172.72,Orthodox,1975-12-19,2.01,39,3.06,64,1.19,36,49,1.5
Paul Kelly,,14,5,0,175.26,70.31,177.8,Orthodox,1984-09-12,3.22,37,2.61,59,1.34,60,30,1.5
Grant Dawson,KGD,20,2,1,177.8,70.31,182.88,Switch,1994-02-20,2.97,51,2.27,45,3.68,36,40,1.5
